id,name_list_as,name_display_as,name_full_title,name_address_as,latest_party_id,latest_party_name,latest_party_short,latestParty_governmentType,latestParty_isIndependentParty,gender,membershipFrom,membershipFromId,membership_house,membershipStartDate,membershipEndDate,membershipEndReason,membershipEndReasonNotes,membershipEndReasonId,statusIsActive,statusDescription,statusNotes,statusId,status,statusStartDate
1524,"Hillier, Dame Meg","Dame Meg Hillier","Dame Meg Hillier MP","Dame Meg Hillier",15,"Labour (Co-op)","Lab",3,false,"F","Hackney South and Shoreditch",3507,1,"2005-05-05T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
3969,"Hinds, Damian","Damian Hinds","Rt Hon Damian Hinds MP","",4,"Conservative","Con",0,false,"M","East Hampshire",3462,1,"2010-05-06T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4494,"Hoare, Simon","Simon Hoare","Simon Hoare MP","Simon Hoare",4,"Conservative","Con",0,false,"M","North Dorset",3637,1,"2015-05-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4602,"Hobhouse, Wera","Wera Hobhouse","Wera Hobhouse MP","Wera Hobhouse",17,"Liberal Democrat","LD","",false,"F","Bath",3308,1,"2017-06-08T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
140,"Hodge, Dame Margaret","Dame Margaret Hodge","Rt Hon Dame Margaret Hodge MP","Dame Margaret Hodge",15,"Labour","Lab",3,false,"F","Barking",3301,1,"1994-06-09T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
1521,"Hodgson, Mrs Sharon","Mrs Sharon Hodgson","Mrs Sharon Hodgson MP","Mrs Hodgson",15,"Labour","Lab",3,false,"F","Washington and Sunderland West",3832,1,"2005-05-05T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4813,"Holden, Mr Richard","Mr Richard Holden","Mr Richard Holden MP","",4,"Conservative","Con",0,false,"M","North West Durham",3655,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4363,"Hollern, Kate","Kate Hollern","Kate Hollern MP","Kate Hollern",15,"Labour","Lab",3,false,"F","Blackburn",3335,1,"2015-05-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4474,"Hollinrake, Kevin","Kevin Hollinrake","Kevin Hollinrake MP","Kevin Hollinrake",4,"Conservative","Con",0,false,"M","Thirsk and Malton",3801,1,"2015-05-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
1537,"Hollobone, Mr Philip","Mr Philip Hollobone","Mr Philip Hollobone MP","Mr Hollobone",4,"Conservative","Con",0,false,"M","Kettering",3556,1,"2005-05-05T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
